ID_Funcionario,Nome,Idade,Genero,Departamento,Cargo,Nivel,Tempo_Empresa_Meses,Salario,Performance,Satisfacao,Ausencias_Anuais,Treinamentos_Completados,Local_Trabalho,Turnover
EMP-1000,Funcionário 1,22,Masculino,Financeiro,Assistente Financeiro,Junior,88,4996.29,4,4,6,6,Remoto,True
EMP-1001,Funcionário 2,26,Masculino,Vendas,Vendedor Pleno,Pleno,114,8417.72,4,8,1,8,Remoto,True
EMP-1002,Funcionário 3,43,Feminino,Operações,COO,Diretoria,44,25776.11,2,2,12,1,Presencial,True
EMP-1003,Funcionário 4,44,Masculino,P&D,Gerente de P&D,Gerência,41,13368.14,5,8,9,8,Presencial,False
EMP-1004,Funcionário 5,46,Feminino,Administrativo,Gerente Administrativo,Gerência,105,17685.49,5,7,8,7,Remoto,True
EMP-1005,Funcionário 6,30,Masculino,Marketing,Analista de Marketing Jr,Junior,31,4034.56,3,4,11,5,Presencial,False
EMP-1006,Funcionário 7,40,Feminino,P&D,Gerente de P&D,Gerência,47,13506.68,4,8,8,3,Híbrido,False
EMP-1007,Funcionário 8,31,Feminino,Vendas,Vendedor Pleno,Pleno,86,7384.45,3,6,10,2,Presencial,False
EMP-1008,Funcionário 9,35,Masculino,Administrativo,Analista Administrativo,Pleno,52,6456.47,5,9,5,5,Remoto,False
EMP-1009,Funcionário 10,25,Masculino,RH,Analista de RH,Pleno,49,6230.73,4,6,13,5,Híbrido,False
EMP-1010,Funcionário 11,37,Masculino,Vendas,Vendedor Sr,Sênior,79,11591.21,4,5,6,3,Presencial,False
EMP-1011,Funcionário 12,49,Feminino,Financeiro,Controller,Diretoria,8,22147.31,3,4,8,3,Remoto,False
EMP-1012,Funcionário 13,36,Feminino,Marketing,Gerente de Marketing,Gerência,46,14001.03,5,9,9,7,Presencial,False
EMP-1013,Funcionário 14,33,Feminino,RH,Analista de RH,Pleno,112,7979.64,4,7,7,8,Remoto,False
EMP-1014,Funcionário 15,44,Masculino,TI,Gerente de TI,Gerência,43,14800.37,4,5,11,8,Remoto,True
EMP-1015,Funcionário 16,49,Masculino,Financeiro,Gerente Financeiro,Gerência,104,16972.63,3,6,11,2,Remoto,False
EMP-1016,Funcionário 17,34,Masculino,Administrativo,Coordenador Administrativo,Sênior,13,8330.2,4,5,12,6,Remoto,False
EMP-1017,Funcionário 18,58,Masculino,P&D,Diretor de P&D,Diretoria,1,19999.01,3,4,10,2,Híbrido,True
EMP-1018,Funcionário 19,32,Feminino,Marketing,Analista de Marketing Pleno,Pleno,59,6846.55,5,6,9,5,Presencial,False
EMP-1019,Funcionário 20,50,Feminino,RH,Diretor de RH,Diretoria,112,29095.09,5,7,9,8,Presencial,False
EMP-1020,Funcionário 21,56,Feminino,TI,CTO,Diretoria,90,29235.79,4,5,10,8,Híbrido,False
EMP-1021,Funcionário 22,46,Masculino,Operações,Gerente de Operações,Gerência,52,13654.24,1,3,18,2,Remoto,False
EMP-1022,Funcionário 23,36,Feminino,TI,Desenvolvedor Sr,Sênior,93,11958.06,5,7,2,6,Híbrido,False
EMP-1023,Funcionário 24,26,Feminino,RH,Analista de RH,Pleno,107,8657.2,1,1,19,3,Remoto,True
EMP-1024,Funcionário 25,22,Feminino,Administrativo,Assistente Administrativo,Junior,114,4832.52,1,3,13,0,Híbrido,False
EMP-1025,Funcionário 26,28,Feminino,P&D,Pesquisador Pleno,Pleno,119,7868.46,4,7,3,4,Remoto,False
EMP-1026,Funcionário 27,36,Masculino,Vendas,Gerente de Vendas,Gerência,18,12410.21,4,4,15,8,Híbrido,False
EMP-1027,Funcionário 28,25,Masculino,Vendas,Vendedor Jr,Junior,4,3832.51,4,6,9,5,Híbrido,False
EMP-1028,Funcionário 29,39,Feminino,P&D,Gerente de P&D,Gerência,78,16909.65,4,7,3,8,Remoto,True
EMP-1029,Funcionário 30,44,Masculino,Financeiro,Gerente Financeiro,Gerência,16,13279.66,3,5,11,2,Presencial,False
EMP-1030,Funcionário 31,28,Masculino,TI,Desenvolvedor Pleno,Pleno,112,7563.06,3,5,13,5,Presencial,False
EMP-1031,Funcionário 32,44,Feminino,Vendas,Diretor de Vendas,Diretoria,68,23836.75,4,5,12,3,Presencial,False
EMP-1032,Funcionário 33,36,Feminino,Vendas,Vendedor Sr,Sênior,36,9631.1,3,4,12,3,Presencial,False
EMP-1033,Funcionário 34,58,Feminino,P&D,Diretor de P&D,Diretoria,90,27252.63,4,6,9,7,Remoto,False
EMP-1034,Funcionário 35,51,Masculino,Financeiro,Controller,Diretoria,97,28898.42,3,6,15,4,Remoto,False
EMP-1035,Funcionário 36,48,Masculino,Financeiro,Controller,Diretoria,105,28189.4,4,6,6,5,Remoto,True
EMP-1036,Funcionário 37,39,Feminino,Administrativo,Gerente Administrativo,Gerência,32,14210.11,3,6,13,3,Remoto,False
EMP-1037,Funcionário 38,59,Feminino,Operações,COO,Diretoria,48,22259.0,2,1,16,0,Remoto,False
EMP-1038,Funcionário 39,28,Feminino,RH,Assistente de RH,Junior,58,4563.51,5,9,6,5,Presencial,False
EMP-1039,Funcionário 40,42,Feminino,Financeiro,CFO,Diretoria,80,24062.87,3,3,12,5,Presencial,False
EMP-1040,Funcionário 41,30,Feminino,Vendas,Vendedor Jr,Junior,88,4400.41,5,6,5,4,Presencial,False
EMP-1041,Funcionário 42,38,Feminino,TI,Desenvolvedor Sr,Sênior,85,11243.35,3,6,10,5,Remoto,False
EMP-1042,Funcionário 43,43,Masculino,Marketing,Gerente de Marketing,Gerência,112,16227.33,4,7,8,5,Presencial,False
EMP-1043,Funcionário 44,52,Feminino,Financeiro,Contador,Diretoria,61,22642.99,3,5,15,3,Presencial,False
EMP-1044,Funcionário 45,35,Feminino,Marketing,Analista de Marketing Sr,Pleno,66,7476.05,3,4,10,4,Remoto,False
EMP-1045,Funcionário 46,40,Feminino,Administrativo,Gerente Administrativo,Gerência,53,15923.61,3,5,11,2,Híbrido,False
EMP-1046,Funcionário 47,52,Masculino,Marketing,Diretor de Marketing,Diretoria,85,25090.97,3,6,8,5,Presencial,False
EMP-1047,Funcionário 48,32,Feminino,TI,Desenvolvedor Pleno,Pleno,25,6401.0,4,8,10,4,Remoto,False
EMP-1048,Funcionário 49,42,Masculino,Financeiro,Controller,Diretoria,1,19150.09,2,1,18,2,Remoto,True
EMP-1049,Funcionário 50,29,Masculino,Administrativo,Analista Administrativo,Pleno,82,8026.46,2,4,8,2,Híbrido,False
EMP-1050,Funcionário 51,35,Masculino,RH,Analista de RH,Pleno,105,8063.8,4,5,11,3,Híbrido,True
EMP-1051,Funcionário 52,53,Feminino,Operações,COO,Diretoria,42,24874.28,3,5,10,5,Presencial,True
EMP-1052,Funcionário 53,39,Masculino,Operações,Gerente de Operações,Gerência,3,10957.83,4,6,7,4,Presencial,False
EMP-1053,Funcionário 54,57,Masculino,Financeiro,Controller,Diretoria,82,28398.58,5,9,1,3,Híbrido,False
EMP-1054,Funcionário 55,41,Masculino,P&D,Gerente de P&D,Gerência,47,14471.6,4,6,8,6,Remoto,False
EMP-1055,Funcionário 56,42,Feminino,Financeiro,CFO,Diretoria,112,31200.43,3,6,12,3,Remoto,False
EMP-1056,Funcionário 57,35,Masculino,RH,Analista de RH,Pleno,6,6035.19,3,3,15,4,Remoto,False
EMP-1057,Funcionário 58,48,Masculino,Operações,COO,Diretoria,104,26287.13,2,2,18,2,Remoto,False
EMP-1058,Funcionário 59,25,Feminino,Operações,Assistente Operacional,Junior,95,4532.91,1,3,13,3,Híbrido,False
EMP-1059,Funcionário 60,46,Masculino,RH,Gerente de RH,Gerência,42,14832.27,1,1,10,2,Híbrido,True
EMP-1060,Funcionário 61,30,Feminino,P&D,Pesquisador Jr,Junior,87,5142.99,4,6,14,3,Híbrido,False
EMP-1061,Funcionário 62,34,Feminino,Operações,Analista de Operações,Pleno,57,7235.68,3,6,9,3,Presencial,False
EMP-1062,Funcionário 63,27,Masculino,Vendas,Vendedor Pleno,Pleno,30,5949.14,4,6,10,4,Híbrido,False
EMP-1063,Funcionário 64,43,Masculino,TI,Desenvolvedor Sr,Sênior,78,11214.99,4,7,2,3,Presencial,False
EMP-1064,Funcionário 65,44,Feminino,Vendas,Diretor de Vendas,Diretoria,63,23956.23,5,9,6,8,Presencial,False
EMP-1065,Funcionário 66,40,Masculino,P&D,Pesquisador Sr,Sênior,52,10431.69,4,4,9,5,Híbrido,True
EMP-1066,Funcionário 67,28,Masculino,Vendas,Vendedor Jr,Junior,95,4658.2,1,2,18,1,Presencial,True
EMP-1067,Funcionário 68,31,Masculino,Vendas,Vendedor Pleno,Pleno,79,7374.18,4,6,5,3,Presencial,False
EMP-1068,Funcionário 69,40,Feminino,TI,Arquiteto de Software,Diretoria,102,25770.89,5,8,10,7,Presencial,False
EMP-1069,Funcionário 70,42,Masculino,Administrativo,Gerente Administrativo,Gerência,11,11406.76,4,7,5,5,Híbrido,True
EMP-1070,Funcionário 71,42,Feminino,P&D,Diretor de P&D,Diretoria,45,23962.05,4,6,5,8,Remoto,False
EMP-1071,Funcionário 72,26,Feminino,Administrativo,Assistente Administrativo,Junior,55,3960.12,3,5,15,5,Remoto,False
EMP-1072,Funcionário 73,26,Masculino,Marketing,Analista de Marketing Sr,Pleno,120,8887.65,4,8,5,7,Presencial,False
EMP-1073,Funcionário 74,30,Masculino,Marketing,Analista de Marketing Jr,Junior,120,5161.05,3,3,20,5,Híbrido,True
EMP-1074,Funcionário 75,23,Feminino,Vendas,Vendedor Jr,Junior,61,3951.69,3,6,12,4,Híbrido,False
EMP-1075,Funcionário 76,57,Masculino,P&D,Diretor de P&D,Diretoria,85,25590.03,4,7,7,7,Remoto,True
EMP-1076,Funcionário 77,31,Feminino,Marketing,Analista de Marketing Sr,Pleno,110,7582.37,4,5,5,6,Remoto,False
EMP-1077,Funcionário 78,37,Masculino,Operações,Gerente de Operações,Gerência,90,16121.76,4,7,5,6,Presencial,False
EMP-1078,Funcionário 79,45,Masculino,Administrativo,Gerente Administrativo,Gerência,116,17277.78,3,5,9,2,Híbrido,False
EMP-1079,Funcionário 80,35,Masculino,Operações,Analista de Operações,Pleno,13,5550.75,3,6,15,4,Remoto,False
EMP-1080,Funcionário 81,32,Masculino,Administrativo,Coordenador Administrativo,Sênior,94,12826.82,2,4,5,2,Híbrido,True
EMP-1081,Funcionário 82,30,Masculino,TI,Desenvolvedor Pleno,Pleno,50,6890.95,2,3,19,2,Remoto,False
EMP-1082,Funcionário 83,50,Feminino,Vendas,Diretor de Vendas,Diretoria,38,24032.02,2,2,10,2,Híbrido,False
EMP-1083,Funcionário 84,26,Masculino,Marketing,Analista de Marketing Jr,Junior,78,4836.77,1,1,17,3,Híbrido,True
EMP-1084,Funcionário 85,39,Masculino,P&D,Gerente de P&D,Gerência,25,14314.28,5,6,14,4,Remoto,True
EMP-1085,Funcionário 86,25,Masculino,Operações,Assistente Operacional,Junior,92,4833.75,5,9,8,6,Híbrido,False
EMP-1086,Funcionário 87,26,Feminino,RH,Assistente de RH,Junior,19,4147.82,2,3,17,3,Remoto,True
EMP-1087,Funcionário 88,35,Masculino,P&D,Gerente de P&D,Gerência,112,16630.32,5,6,7,4,Presencial,False
EMP-1088,Funcionário 89,38,Feminino,Vendas,Gerente de Vendas,Gerência,67,16751.35,2,1,17,1,Remoto,True
EMP-1089,Funcionário 90,42,Masculino,RH,Especialista de RH,Sênior,113,11956.53,2,1,20,3,Híbrido,True
EMP-1090,Funcionário 91,42,Masculino,Vendas,Gerente de Vendas,Gerência,74,14369.55,3,5,13,4,Remoto,True
EMP-1091,Funcionário 92,31,Masculino,Financeiro,Analista Financeiro,Pleno,101,7554.71,3,4,6,5,Presencial,False
EMP-1092,Funcionário 93,38,Feminino,Operações,Gerente de Operações,Gerência,110,17011.73,2,5,5,0,Remoto,True
EMP-1093,Funcionário 94,23,Masculino,RH,Assistente de RH,Junior,92,5252.92,4,5,10,8,Remoto,True
EMP-1094,Funcionário 95,24,Masculino,Marketing,Analista de Marketing Jr,Junior,65,4078.57,5,7,1,7,Remoto,False
EMP-1095,Funcionário 96,56,Masculino,Financeiro,Contador,Diretoria,5,18552.0,3,3,19,2,Remoto,False
EMP-1096,Funcionário 97,26,Feminino,RH,Assistente de RH,Junior,17,3486.39,2,2,12,3,Híbrido,True
EMP-1097,Funcionário 98,34,Masculino,RH,Analista de RH,Pleno,64,6867.22,4,7,3,7,Presencial,False
EMP-1098,Funcionário 99,45,Masculino,P&D,Pesquisador Sr,Sênior,102,11712.41,3,4,7,4,Remoto,True
EMP-1099,Funcionário 100,38,Masculino,Operações,Gerente de Operações,Gerência,12,11797.04,3,5,6,2,Presencial,False
EMP-1100,Funcionário 101,46,Masculino,Vendas,Gerente de Vendas,Gerência,39,13741.43,4,6,11,4,Presencial,True
EMP-1101,Funcionário 102,58,Feminino,Financeiro,Controller,Diretoria,107,31190.2,3,5,6,4,Híbrido,False
EMP-1102,Funcionário 103,26,Feminino,P&D,Pesquisador Jr,Junior,87,4947.25,3,3,10,4,Híbrido,False
EMP-1103,Funcionário 104,30,Masculino,RH,Assistente de RH,Junior,71,4648.58,5,6,12,5,Remoto,False
EMP-1104,Funcionário 105,48,Masculino,Vendas,Diretor de Vendas,Diretoria,112,28083.77,4,4,15,5,Híbrido,False
EMP-1105,Funcionário 106,34,Masculino,RH,Analista de RH,Pleno,60,7391.18,3,3,10,5,Híbrido,False
EMP-1106,Funcionário 107,38,Masculino,Administrativo,Gerente Administrativo,Gerência,22,12500.26,3,5,10,5,Híbrido,False
EMP-1107,Funcionário 108,25,Masculino,Marketing,Analista de Marketing Pleno,Pleno,115,8134.2,3,3,11,2,Presencial,False
EMP-1108,Funcionário 109,45,Feminino,Financeiro,Controller,Diretoria,58,24183.26,5,8,9,4,Híbrido,False
EMP-1109,Funcionário 110,40,Feminino,P&D,Pesquisador Sr,Sênior,15,8607.51,4,7,5,7,Remoto,False
EMP-1110,Funcionário 111,31,Feminino,TI,Desenvolvedor Pleno,Pleno,62,7484.17,4,5,8,7,Remoto,False
EMP-1111,Funcionário 112,27,Feminino,RH,Analista de RH,Pleno,85,7892.83,5,7,10,4,Presencial,False
EMP-1112,Funcionário 113,27,Feminino,TI,Desenvolvedor Jr,Junior,70,4782.01,2,2,10,2,Remoto,False
EMP-1113,Funcionário 114,57,Feminino,Marketing,Diretor de Marketing,Diretoria,31,24217.07,3,3,15,5,Presencial,True
EMP-1114,Funcionário 115,30,Masculino,TI,Desenvolvedor Jr,Junior,32,4345.92,3,5,15,5,Presencial,True
EMP-1115,Funcionário 116,34,Feminino,Marketing,Analista de Marketing Pleno,Pleno,28,6482.88,5,7,6,3,Remoto,True
EMP-1116,Funcionário 117,42,Masculino,TI,Desenvolvedor Sr,Sênior,22,8623.29,4,5,7,5,Híbrido,False
EMP-1117,Funcionário 118,29,Masculino,Financeiro,Assistente Financeiro,Junior,97,4568.38,1,1,19,3,Híbrido,True
EMP-1118,Funcionário 119,58,Feminino,RH,Diretor de RH,Diretoria,85,26794.6,4,7,6,4,Remoto,False
EMP-1119,Funcionário 120,44,Masculino,Financeiro,CFO,Diretoria,90,29132.68,3,4,13,5,Híbrido,True
EMP-1120,Funcionário 121,43,Masculino,RH,Gerente de RH,Gerência,12,13800.37,2,4,5,1,Híbrido,True
EMP-1121,Funcionário 122,25,Feminino,Vendas,Vendedor Pleno,Pleno,14,6187.14,4,5,15,6,Híbrido,False
EMP-1122,Funcionário 123,30,Masculino,Financeiro,Assistente Financeiro,Junior,56,3982.7,4,5,11,7,Presencial,True
EMP-1123,Funcionário 124,24,Masculino,P&D,Pesquisador Jr,Junior,92,4771.42,4,4,11,3,Remoto,False
EMP-1124,Funcionário 125,34,Feminino,Vendas,Vendedor Sr,Sênior,4,9033.49,4,6,15,3,Híbrido,False
EMP-1125,Funcionário 126,27,Feminino,Administrativo,Analista Administrativo,Pleno,21,5556.18,3,5,15,5,Remoto,False
EMP-1126,Funcionário 127,47,Feminino,Vendas,Gerente de Vendas,Gerência,119,17314.76,3,3,10,3,Remoto,True
EMP-1127,Funcionário 128,38,Masculino,Operações,Coordenador de Operações,Sênior,119,11767.44,5,8,2,4,Remoto,False
EMP-1128,Funcionário 129,25,Masculino,Administrativo,Analista Administrativo,Pleno,42,6808.29,1,2,13,0,Remoto,True
EMP-1129,Funcionário 130,35,Feminino,Administrativo,Analista Administrativo,Pleno,116,7917.84,2,3,18,2,Remoto,True
EMP-1130,Funcionário 131,51,Feminino,Financeiro,CFO,Diretoria,50,24138.66,2,5,7,1,Presencial,False
EMP-1131,Funcionário 132,25,Masculino,Marketing,Analista de Marketing Jr,Junior,99,4925.25,4,5,9,4,Remoto,True
EMP-1132,Funcionário 133,59,Masculino,P&D,Diretor de P&D,Diretoria,36,25175.1,2,2,11,3,Híbrido,True
EMP-1133,Funcionário 134,31,Masculino,P&D,Pesquisador Pleno,Pleno,29,6290.02,3,6,7,5,Híbrido,False
EMP-1134,Funcionário 135,49,Feminino,Operações,Gerente de Operações,Gerência,93,17104.89,3,4,12,4,Presencial,False
EMP-1135,Funcionário 136,24,Masculino,Vendas,Vendedor Jr,Junior,33,3693.18,2,1,10,1,Híbrido,True
EMP-1136,Funcionário 137,54,Feminino,RH,Diretor de RH,Diretoria,86,29579.23,4,5,9,6,Remoto,False
EMP-1137,Funcionário 138,27,Masculino,Vendas,Vendedor Jr,Junior,61,4759.72,4,6,14,7,Remoto,False
EMP-1138,Funcionário 139,54,Feminino,Financeiro,Controller,Diretoria,115,28892.18,3,6,8,4,Híbrido,False
EMP-1139,Funcionário 140,39,Feminino,Administrativo,Coordenador Administrativo,Sênior,86,11659.77,4,5,13,5,Híbrido,False
EMP-1140,Funcionário 141,43,Feminino,P&D,Gerente de P&D,Gerência,16,12899.19,3,6,11,4,Híbrido,False
EMP-1141,Funcionário 142,28,Masculino,Operações,Assistente Operacional,Junior,86,4747.13,5,8,3,8,Remoto,False
EMP-1142,Funcionário 143,56,Feminino,Vendas,Diretor de Vendas,Diretoria,18,21655.71,5,8,1,3,Híbrido,False
EMP-1143,Funcionário 144,25,Feminino,Administrativo,Assistente Administrativo,Junior,119,4952.82,3,3,14,4,Presencial,True
EMP-1144,Funcionário 145,26,Masculino,RH,Assistente de RH,Junior,69,4130.99,3,3,14,5,Híbrido,True
EMP-1145,Funcionário 146,37,Feminino,Operações,Gerente de Operações,Gerência,82,16792.05,4,7,9,4,Híbrido,False
EMP-1146,Funcionário 147,29,Feminino,Marketing,Analista de Marketing Pleno,Pleno,93,7672.38,4,6,10,6,Remoto,False
EMP-1147,Funcionário 148,31,Feminino,Vendas,Vendedor Pleno,Pleno,63,7327.87,5,7,2,6,Presencial,False
EMP-1148,Funcionário 149,40,Feminino,RH,Especialista de RH,Sênior,12,9480.66,2,4,10,3,Híbrido,True
EMP-1149,Funcionário 150,26,Masculino,Administrativo,Analista Administrativo,Pleno,102,7397.56,4,5,12,5,Presencial,False
EMP-1150,Funcionário 151,35,Masculino,Marketing,Analista de Marketing Pleno,Pleno,89,6917.19,4,7,10,6,Presencial,False
EMP-1151,Funcionário 152,23,Masculino,RH,Assistente de RH,Junior,43,4012.94,3,5,6,3,Híbrido,False
EMP-1152,Funcionário 153,23,Feminino,RH,Assistente de RH,Junior,112,4828.7,3,6,14,3,Remoto,True
EMP-1153,Funcionário 154,47,Feminino,TI,Arquiteto de Software,Diretoria,29,23988.5,4,4,12,6,Híbrido,True
EMP-1154,Funcionário 155,23,Feminino,Operações,Assistente Operacional,Junior,120,5105.52,3,6,6,4,Remoto,False
EMP-1155,Funcionário 156,24,Masculino,Financeiro,Assistente Financeiro,Junior,74,4555.29,3,4,6,2,Presencial,True
EMP-1156,Funcionário 157,34,Masculino,Marketing,Analista de Marketing Sr,Pleno,99,7199.44,4,8,2,7,Híbrido,False
EMP-1157,Funcionário 158,25,Feminino,Marketing,Analista de Marketing Pleno,Pleno,119,7585.63,3,5,7,4,Remoto,False
EMP-1158,Funcionário 159,23,Masculino,Vendas,Vendedor Jr,Junior,77,5003.26,3,3,11,5,Presencial,True
EMP-1159,Funcionário 160,29,Masculino,P&D,Pesquisador Pleno,Pleno,9,5547.45,2,4,7,1,Híbrido,False
EMP-1160,Funcionário 161,30,Feminino,Administrativo,Assistente Administrativo,Junior,83,5039.51,3,5,10,2,Remoto,True
EMP-1161,Funcionário 162,32,Masculino,Vendas,Vendedor Pleno,Pleno,44,6871.04,3,5,14,5,Remoto,False
EMP-1162,Funcionário 163,25,Masculino,Operações,Analista de Operações,Pleno,49,6145.2,3,4,15,5,Remoto,False
EMP-1163,Funcionário 164,28,Masculino,Financeiro,Assistente Financeiro,Junior,117,5165.0,5,8,1,6,Híbrido,False
EMP-1164,Funcionário 165,39,Masculino,RH,Gerente de RH,Gerência,92,17713.04,4,6,7,6,Híbrido,False
EMP-1165,Funcionário 166,55,Feminino,Marketing,Diretor de Marketing,Diretoria,96,28288.4,3,5,5,3,Híbrido,False
